,sentence,rankt,ranko
1885,es geht ihr gut,1885,7095
1886,mich auch,1886,3188
1887,wie geht's ihnen,1887,4637
1888,weitermachen,1888,721
1889,stehen sie auf,1889,2149
1890,was für eine überraschung,1890,2842
1891,und wenn schon,1891,3065
1892,"ach, nichts",1892,1590
1893,"hallo, jungs",1893,4677
1894,ich weiß nichts,1894,2185
1895,wir haben's geschafft,1895,2256
1896,ich kann,1896,2228
1897,willst du das,1897,2885
1898,sie nicht,1898,2074
1899,das tue ich nicht,1899,6031
1900,fünf minuten,1900,5410
1901,lasst uns gehen,1901,9899
1902,"eins, zwei, drei, vier",1902,4772
1903,ich bleibe,1903,1857
1904,was zum teufel war das,1904,9899
1905,ganz meinerseits,1905,1845
1906,geht es ihm gut,1906,4094
1907,was hat er getan,1907,2761
1908,wo liegt das problem,1908,7075
1909,mein bruder,1909,1113
1910,"hey, baby",1910,9899
1911,ist schon in ordnung,1911,8196
1912,stimmt nicht,1912,3178
1913,ganz ehrlich,1913,3360
1914,das wird nicht passieren,1914,9899
1915,ich flehe dich an,1915,3162
1916,was sonst,1916,1903
1917,wie kann ich ihnen helfen,1917,3726
1918,"äh, ja",1918,1479
1919,worum geht's,1919,3790
1920,das ist eine gute idee,1920,3781
1921,sie sind tot,1921,4784
1922,"ja, das habe ich",1922,3829
1923,wer hätte das gedacht,1923,2914
1924,und nun,1924,1029
1925,wir sollten gehen,1925,4317
1926,mehr oder weniger,1926,3185
1927,was habe ich gesagt,1927,2554
1928,alles gute zum geburtstag,1928,1949
1929,lass ihn los,1929,2776
1930,angriff,1930,2563
1931,oliver,1931,9899
1932,ich sag dir was,1932,5719
1933,"oh, nein, nein",1933,4801
1934,"nein, ich kann nicht",1934,2739
1935,karen,1935,9899
1936,"los, gehen wir",1936,3055
1937,das war alles,1937,3170
1938,mein beileid,1938,1337
1939,du hast gewonnen,1939,2652
1940,das weißt du nicht,1940,5627
1941,das reicht nicht,1941,4808
1942,das ist nicht lustig,1942,6463
1943,"oh, hi",1943,8572
1944,al,1944,9899
1945,nancy,1945,6497
1946,es ist nicht deine schuld,1946,7610
1947,dachte ich mir,1947,3323
1948,ich mag dich,1948,4289
1949,madam,1949,2010
1950,tee,1950,949
1951,buffy,1951,9899
1952,wir haben nicht viel zeit,1952,3115
1953,ich mein's ernst,1953,4828
1954,meine tochter,1954,1893
1955,steig aus,1955,1421
1956,ich kenne ihn,1956,3452
1957,halt durch,1957,5384
1958,albert,1958,849
1959,wir müssen weiter,1959,1725
1960,ich mag sie,1960,9899
1961,wo ist er jetzt,1961,1989
1962,caroline,1962,2202
1963,tun sie das,1963,6702
1964,kann ich,1964,2035
1965,nanu,1965,564
1966,das ist seltsam,1966,4486
1967,ist das ein witz,1967,3911
1968,es geht,1968,1228
1969,frauen,1969,3002
1970,vermutlich,1970,4370
1971,kelly,1971,9899
1972,ich bin unschuldig,1972,2954
1973,eva,1973,1205
1974,wovor,1974,1905
1975,verschwinden wir,1975,3568
1976,ich wollte nicht,1976,2902
1977,sehr gerne,1977,1283
1978,ich hatte angst,1978,3439
1979,"tut mir leid, sir",1979,2643
1980,das ist wahnsinn,1980,2422
1981,wie hast du das gemacht,1981,3206
1982,ich sollte gehen,1982,9899
1983,nichts besonderes,1983,1781
1984,vergib mir,1984,9318
1985,kyle,1985,9899
1986,woher hast du das,1986,2169
1987,zigarette,1987,762
1988,das ist schrecklich,1988,4059
1989,witzig,1989,2789
1990,auf wiederhören,1990,1812
1991,wovon,1991,2021
1992,ich war,1992,9641
1993,entschuldigen sie die störung,1993,1988
1994,wie konnte das passieren,1994,1345
1995,"komm, komm",1995,699
1996,o nein,1996,799
1997,sollen wir,1997,9899
1998,willkommen zu hause,1998,4569
1999,lasst mich,1999,1388
2000,das ist wunderbar,2000,2803
2001,aufpassen,2001,1513
2002,wir alle,2002,5137
2003,marty,2003,3373
2004,entschuldige bitte,2004,2339
2005,"danke, doktor",2005,6135
2006,wer sind die,2006,2951
2007,und sie sind,2007,4853
2008,"danke, danke",2008,1177
2009,sie sind,2009,1834
2010,ich muss hier raus,2010,5579
2011,ich will dich,2011,932
2012,ich rufe die polizei,2012,3445
2013,tu es nicht,2013,3201
2014,scht,2014,933
2015,erinnern sie sich,2015,2197
2016,ich versuch's,2016,2598
2017,ich hab's geschafft,2017,3562
2018,bleib dran,2018,2669
2019,tina,2019,1602
2020,ethan,2020,1162
2021,das wollte ich nicht,2021,4625
2022,ich werde da sein,2022,3746
2023,darum,2023,3453
2024,heute nacht,2024,1687
2025,dramatische musik,2025,677
2026,kopf hoch,2026,1967
2027,tötet ihn,2027,2116
2028,"vielen dank, sir",2028,5836
2029,kennst du ihn,2029,2541
2030,hier ist sie,2030,4903
2031,josh,2031,9899
2032,irgendjemand,2032,9899
2033,was glaubst du,2033,2719
2034,das wird schon wieder,2034,3583
2035,anne,2035,1595
2036,"nein, ma'am",2036,6944
2037,dave,2037,9899
2038,"nein, bitte nicht",2038,2136
2039,"oh, vielen dank",2039,7428
2040,gib sie mir,2040,3807
2041,ich hab keine ahnung,2041,4276
2042,glaubst du,2042,2364
2043,mir nach,2043,1213
2044,zeit,2044,2273
2045,ach komm,2045,1710
2046,du bist,2046,3664
2047,man sieht sich,2047,2464
2048,feigling,2048,1420
2049,machen sie schon,2049,3385
2050,ich gebe auf,2050,5021
2051,wartet mal,2051,3709
2052,walt,2052,9899
2053,geil,2053,659
2054,das war,2054,2204
2055,bonnie,2055,9899
2056,sammy,2056,3232
2057,können sie mich hören,2057,2564
2058,ich lüge nicht,2058,5085
2059,klopfen,2059,443
2060,frankie,2060,9899
2061,liebst du mich,2061,813
2062,jo,2062,786
2063,fallen lassen,2063,6350
2064,du verstehst nicht,2064,4922
2065,sprechen sie,2065,6955
2066,werde ich nicht,2066,9899
2067,opa,2067,546
2068,ich denke,2068,9899
2069,das darf nicht wahr sein,2069,1685
2070,das bin ich nicht,2070,3504
2071,roy,2071,2320
2072,unfassbar,2072,2433
2073,wir müssen,2073,1883
2074,jesus christus,2074,9899
2075,bitte kommen,2075,2286
2076,nicht so laut,2076,1068
2077,halt mal,2077,1104
2078,der,2078,1141
2079,mein freund,2079,1171
2080,sitz,2080,2424
2081,ich muss auflegen,2081,7614
2082,"ja, sehr",2082,856
2083,was nun,2083,2602
2084,aufgepasst,2084,2935
2085,hört sich gut an,2085,4942
2086,oui,2086,1252
2087,das ist absurd,2087,2196
2088,bonjour,2088,1110
2089,wir sind bereit,2089,7859
2090,no,2090,432
2091,noch fragen,2091,1480
2092,da ist nichts,2092,2004
2093,jetzt reicht's,2093,1682
2094,ich komme gleich wieder,2094,1782
2095,nicht so,2095,2075
2096,wo waren sie,2096,3060
2097,was machen sie denn hier,2097,964
2098,bleib da,2098,1561
2099,finde ich auch,2099,3032
2100,warum sagst du das,2100,3121
2101,herrje,2101,5479
2102,rein mit dir,2102,4849
2103,du musst mir helfen,2103,2344
2104,ich habe es,2104,5183
2105,"oh, ich verstehe",2105,9899
2106,lasst mich raus,2106,4865
2107,wie ist das,2107,4614
2108,mir ist kalt,2108,1472
2109,etwas,2109,8034
2110,das ist mein job,2110,5314
2111,"ja, ich glaube schon",2111,3534
2112,"guten morgen, sir",2112,1764
2113,ich danke euch,2113,1193
2114,es ist kompliziert,2114,9506
2115,"nein, das geht nicht",2115,1617
2116,danke für alles,2116,2550
2117,das ist lustig,2117,9899
2118,das war knapp,2118,1543
2119,was halten sie davon,2119,2157
2120,es funktioniert nicht,2120,4953
2121,tun sie das nicht,2121,4617
2122,sie ist wunderschön,2122,5889
2123,herzlich willkommen,2123,726
2124,rick,2124,4512
2125,setzen,2125,642
2126,und wieso,2126,2561
2127,"oh, gott sei dank",2127,9899
2128,kumpel,2128,8855
2129,"ich weiß, was ich tue",2129,3636
2130,ich bin beschäftigt,2130,8954
2131,darf ich mal,2131,1235
2132,das ist perfekt,2132,3768
2133,terry,2133,9433
2134,ich hab angst,2134,2890
2135,ich habe sie,2135,6080
2136,woher kommst du,2136,1265
2137,du kannst gehen,2137,3940
2138,du sagst es,2138,6034
2139,das geht sie nichts an,2139,2078
2140,köstlich,2140,1654
2141,na so was,2141,1958
2142,es ist so weit,2142,3314
2143,wo ist das problem,2143,3197
2144,sieh mal einer an,2144,3382
2145,kein kommentar,2145,4231
2146,bleiben sie hier,2146,2409
2147,geh einfach,2147,9899
2148,katie,2148,9899
2149,lass mich gehen,2149,6715
2150,wo gehen sie hin,2150,3900
2151,mayday,2151,9899
2152,jess,2152,9899
2153,wo sind die anderen,2153,1222
2154,da sind wir,2154,2306
2155,wir brauchen hilfe,2155,5614
2156,nichts zu danken,2156,2372
2157,euer ehren,2157,3714
2158,tod,2158,5636
2159,häh,2159,3353
2160,was wollen sie damit sagen,2160,3068
2161,wie sieht es aus,2161,2191
2162,ich kann nicht schlafen,2162,1871
2163,ich muss dir etwas sagen,2163,3198
2164,warten,2164,607
2165,da kommen sie,2165,2755
2166,ich liebe dich so sehr,2166,3524
2167,dummkopf,2167,2397
2168,wie sie wünschen,2168,1468
2169,das sind wir,2169,6950
2170,"weißt du, was ich meine",2170,5452
2171,lasst mich in ruhe,2171,1918
2172,oben,2172,2346
2173,das ist interessant,2173,3371
2174,verstehst du nicht,2174,5270
2175,"ja, ist es",2175,3552
2176,ist sie das,2176,2195
2177,das darf doch nicht wahr sein,2177,2144
2178,bleiben sie stehen,2178,1264
2179,alle raus,2179,1887
2180,so einfach ist das,2180,2864
2181,hier bitte,2181,5487
2182,es tut weh,2182,7059
2183,puh,2183,917
2184,"ja, das ist sie",2184,3825
2185,wer hat das gesagt,2185,1916
2186,sean,2186,9899
2187,william,2187,7012
2188,das ist unfair,2188,3107
2189,lass mich raus,2189,2028
2190,ich habe einen plan,2190,7725
2191,lassen sie das,2191,1360
2192,was geht ab,2192,9899
2193,das ist besser,2193,3563
2194,tu mir einen gefallen,2194,8626
2195,geh rein,2195,3622
2196,worauf,2196,2029
2197,jap,2197,9899
2198,irgendwie,2198,4005
2199,"ich weiß nicht, wovon sie reden",2199,5742
2200,nach rechts,2200,2096
2201,du kannst mich mal,2201,1963
2202,buh,2202,1199
2203,euer gnaden,2203,9899
2204,warte mal kurz,2204,4481
2205,"verzeihung, sir",2205,2835
2206,nimm,2206,1185
2207,bist du wahnsinnig,2207,869
2208,wo fahren wir hin,2208,3431
2209,kommen sie zurück,2209,1779
2210,ein was,2210,2303
2211,es ist unglaublich,2211,2650
2212,judy,2212,9899
2213,wir warten,2213,2155
2214,"oh, verzeihung",2214,1312
2215,catherine,2215,7113
2216,"ja, warum",2216,1826
2217,sehr wohl,2217,1042
2218,sind sie das,2218,1459
2219,sehr hübsch,2219,1133
2220,das glaube ich,2220,2526
2221,hast du nicht,2221,2929
2222,da ist sie ja,2222,1621
2223,einmal,2223,2793
2224,wohin gehen sie,2224,2632
2225,ich mache es,2225,4839
2226,bis heute abend,2226,2605
2227,also bitte,2227,1807
2228,yep,2228,3167
2229,auf,2229,1132
2230,tyler,2230,9899
2231,wie süß,2231,2293
2232,idioten,2232,2904
2233,zu hause,2233,1702
2234,"nein, du",2234,4035
2235,"weißt du, was das ist",2235,1216
2236,blödmann,2236,1827
2237,marcus,2237,9899
2238,euer majestät,2238,7459
2239,geht es ihr gut,2239,9899
2240,bitte setzen sie sich,2240,1947
2241,sehr sogar,2241,4452
2242,angel,2242,4073
2243,wie geht es,2243,2175
2244,das da,2244,3093
2245,chief,2245,9899
2246,"ja, madam",2246,3423
2247,auf gar keinen fall,2247,2326
2248,geben sie her,2248,987
2249,kann ich dir helfen,2249,2040
2250,sag nichts,2250,4505
2251,ich kenne sie nicht,2251,5684
2252,ich warne dich,2252,3057
2253,nie im leben,2253,2912
2254,mum,2254,8933
2255,du bist hier,2255,3719
2256,ist was passiert,2256,942
2257,kommen,2257,1036
2258,rechts,2258,1244
2259,"danke, dad",2259,9899
2260,ich arbeite,2260,1737
2261,großvater,2261,1392
2262,wie kann das sein,2262,8073
2263,nimm sie,2263,4644
2264,heute nicht,2264,2520
2265,was ist mit dir passiert,2265,9899
2266,ich glaube dir,2266,5535
2267,wo seid ihr,2267,1720
2268,gefällt dir das,2268,3812
2269,dein vater,2269,2023
2270,das ist super,2270,6957
2271,familie,2271,9899
2272,einfach,2272,4443
2273,was war das denn,2273,2956
2274,leg dich hin,2274,1661
2275,ich vermisse dich,2275,2796
2276,"bleib, wo du bist",2276,2713
2277,störe ich,2277,1982
2278,raus da,2278,4918
2279,das wissen wir,2279,3217
2280,tun sie es,2280,9899
2281,komm zu mir,2281,1156
2282,folge mir,2282,9899
2283,welchen,2283,2345
2284,bist du verrückt geworden,2284,1263
2285,mademoiselle,2285,1344
2286,wie lange noch,2286,2629
2287,"hi, mom",2287,9899
2288,wird's bald,2288,1455
2289,das ist keine gute idee,2289,9899
2290,und was machen wir jetzt,2290,1799
2291,vielleicht hast du recht,2291,5868
2292,fröhliche weihnachten,2292,1528
2293,so eine scheiße,2293,2700
2294,gold,2294,1817
2295,eine minute,2295,6531
2296,whoo,2296,9899
2297,wohin fahren wir,2297,1591
2298,"ach, nein",2298,2101
2299,mein baby,2299,9899
2300,es ist mir egal,2300,2384
2301,verzieh dich,2301,4135
2302,soll ich,2302,1890
2303,"nein, aber",2303,2261
2304,machen sie witze,2304,3621
2305,ich habe zu tun,2305,3573
2306,norman,2306,9899
2307,"nun, ich",2307,9899
2308,alarm,2308,588
2309,kommt drauf an,2309,3346
2310,heiß,2310,3777
2311,aussteigen,2311,1161
2312,"entschuldigen sie, sir",2312,5513
2313,"ja, herr",2313,9899
2314,ich versteh das nicht,2314,3422
2315,beruhigt euch,2315,3705
2316,nicht weinen,2316,2683
2317,sie ist nicht hier,2317,4421
2318,"hört, hört",2318,4944
2319,bleiben sie dran,2319,5299
2320,wer zum teufel sind sie,2320,9899
2321,aaron,2321,9899
2322,macht platz,2322,3246
2323,was sagen sie dazu,2323,1422
2324,"nein, ist er nicht",2324,5745
2325,das wissen sie,2325,1841
2326,ich bin wieder da,2326,1618
2327,und wer sind sie,2327,2199
2328,"ja, alles klar",2328,2641
2329,"ok, danke",2329,9899
2330,"danke, dass sie gekommen sind",2330,4360
2331,du irrst dich,2331,3256
2332,nicht du,2332,6147
2333,wo ist das geld,2333,2114
2334,töten,2334,9899
2335,machen sie weiter,2335,2604
2336,zeig mal her,2336,1684
2337,ist in ordnung,2337,3903
2338,was wird das,2338,4208
2339,vielleicht auch nicht,2339,4775
2340,lustig,2340,1936
2341,eine frage,2341,5554
2342,das will ich nicht,2342,2821
2343,seien sie still,2343,2648
2344,wo kommst du her,2344,1167
2345,ich will das nicht,2345,2124
2346,deine mutter,2346,2779
2347,ich habe keine wahl,2347,5062
2348,von mir,2348,1635
2349,so was,2349,1281
2350,töte mich,2350,4537
2351,was wollen sie hier,2351,1223
2352,seid vorsichtig,2352,4686
2353,ich bin spät dran,2353,3954
2354,was war los,2354,2744
2355,harvey,2355,9899
2356,du verstehst das nicht,2356,5924
2357,was sagt man dazu,2357,5879
2358,doctor,2358,9899
2359,alleine,2359,1847
2360,er schläft,2360,2452
2361,was hast du gesehen,2361,4698
2362,das ist nicht dein ernst,2362,1652
2363,kommt zurück,2363,1801
2364,das wäre schön,2364,2549
2365,donnerwetter,2365,697
2366,geh zurück,2366,4855
2367,tess,2367,3120
2368,es ist zu gefährlich,2368,3127
2369,"nein, eigentlich nicht",2369,6549
2370,rate mal,2370,7981
2371,abby,2371,9899
2372,nichts weiter,2372,1904
2373,jessica,2373,9899
2374,wie hast du mich gefunden,2374,6111
2375,was zur hölle ist das,2375,9899
2376,setzen sie sich doch,2376,1553
2377,bist du,2377,9899
2378,"na, schön",2378,7713
2379,noch einen,2379,2048
2380,sind sie okay,2380,9899
2381,jetzt geht's los,2381,1236
2382,was sollen wir machen,2382,2946
2383,sehr lustig,2383,3052
2384,wie geht's ihm,2384,3670
2385,was will er,2385,3181
2386,aber weißt du was,2386,7926
2387,kann ich reinkommen,2387,2036
2388,ich war's nicht,2388,2962
2389,nicht direkt,2389,1266
2390,dort drüben,2390,1986
2391,iss,2391,1334
2392,was sie nicht sagen,2392,2654
2393,ich habe keinen hunger,2393,3578
2394,was macht ihr,2394,1739
2395,fahren sie,2395,2401
2396,du weißt es nicht,2396,3958
2397,ist das ihr ernst,2397,4464
2398,wir beide,2398,2357
2399,sieh sie dir an,2399,9899
2400,yes,2400,292
2401,ich hoffe nicht,2401,3225
2402,reg dich ab,2402,1917
2403,wie war es,2403,2633
2404,sieh an,2404,3103
2405,warum hast du nichts gesagt,2405,3135
2406,nicht der rede wert,2406,2504
2407,du bist wunderschön,2407,3083
2408,"nein, vielen dank",2408,2743
2409,voilà,2409,1831
2410,das wäre toll,2410,9441
2411,warum das,2411,4377
2412,aber wieso,2412,2741
2413,ich brauche ihre hilfe,2413,4720
2414,patrick,2414,6030
2415,"äh, nein",2415,3406
2416,welches,2416,3590
2417,wer bin ich,2417,2937
2418,halten sie an,2418,2338
2419,beth,2419,9899
2420,aber du,2420,2351
2421,gib es mir,2421,5937
2422,seid ihr bereit,2422,4751
2423,ich kündige,2423,2690
2424,"ja, schon",2424,1465
2425,total,2425,3341
2426,ich will nicht darüber reden,2426,9899
2427,was soll das denn heißen,2427,3238
2428,das ist was anderes,2428,2159
2429,"nein, warten sie",2429,6099
2430,da stimmt was nicht,2430,2214
2431,das war ich nicht,2431,4638
2432,o ja,2432,1402
2433,raus mit euch,2433,2003
2434,"oh, junge",2434,9899
2435,wir sind fast da,2435,5713
2436,vergessen sie es,2436,6251
2437,"ja, so ist es",2437,6572
2438,zweimal,2438,2816
2439,ich habe es gesehen,2439,8354
2440,das ist komisch,2440,9899
2441,sieh ihn dir an,2441,6718
2442,ekelhaft,2442,9899
2443,herrlich,2443,847
2444,nach ihnen,2444,1633
2445,sophie,2445,889
2446,ich bin ok,2446,9899
2447,wahrscheinlich nicht,2447,5839
2448,hier rein,2448,1736
2449,punkt,2449,936
2450,ich werde gehen,2450,9899
2451,kein wort,2451,2055
2452,du wirst schon sehen,2452,3334
2453,ich habe dich vermisst,2453,4413
2454,wie kommen sie darauf,2454,1678
2455,wie läuft es,2455,4597
2456,wir haben sie,2456,2413
2457,"nein, hab ich nicht",2457,8266
2458,ist das nicht toll,2458,6570
2459,gewonnen,2459,1586
2460,"danke, kumpel",2460,9899
2461,weitergehen,2461,539
2462,"hier entlang, bitte",2462,2837
2463,du zuerst,2463,6688
2464,was gibt's denn,2464,1188
2465,"los, schnell",2465,2016
2466,schuss,2466,755
2467,ich kann mich nicht erinnern,2467,2475
2468,langweilig,2468,2767
2469,das ist gefährlich,2469,2671
2470,komm hoch,2470,1892
2471,und was ist mit dir,2471,7234
2472,sind sie verletzt,2472,1509
2473,keiner,2473,2152
2474,wir sind freunde,2474,5717
2475,ich habe keine zeit,2475,2069
2476,alles wird wieder gut,2476,3441
2477,wie war dein tag,2477,6639
2478,sieh mal an,2478,2861
2479,stimmt genau,2479,3118
2480,jetzt bist du dran,2480,2291
2481,absolut nicht,2481,8867
2482,so ist das,2482,1956
2483,tötet sie,2483,9899
2484,"nein, tue ich nicht",2484,9234
2485,schon vergessen,2485,1556
2486,ich bin raus,2486,6929
2487,lass mich mal sehen,2487,9899
2488,genau wie du,2488,6406
2489,bastard,2489,7263
2490,"doch, natürlich",2490,3020
2491,ich melde mich,2491,2300
2492,pa,2492,5006
2493,"hallo, mama",2493,1107
2494,sehen sie mal,2494,2085
2495,"ja, vater",2495,2151
2496,deshalb,2496,3063
2497,sehr interessant,2497,1555
2498,du lebst,2498,3274
2499,halt die fresse,2499,887
2500,willst du mich heiraten,2500,2521
2501,nicht ich,2501,3650
2502,ein geschenk,2502,2230
2503,was bisher geschah,2503,9899
2504,machen sie auf,2504,2458
2505,es ist schon spät,2505,2479
2506,nach links,2506,2603
2507,leck mich am arsch,2507,1763
2508,miststück,2508,3693
2509,exzellent,2509,3187
2510,aaah,2510,1088
2511,ich glaube dir nicht,2511,9899
2512,was kann ich für dich tun,2512,6501
2513,heiliger strohsack,2513,4429
2514,nicht heute,2514,5821
2515,ich muss arbeiten,2515,2949
2516,so ein quatsch,2516,2081
2517,können wir reden,2517,4881
2518,ganz langsam,2518,1811
2519,ich muss nach hause,2519,3474
2520,"na, gut",2520,4607
2521,ich bestehe darauf,2521,2496
2522,steht auf,2522,2557
2523,ich kann nichts dafür,2523,1848
2524,krass,2524,798
2525,einen schönen tag noch,2525,3237
2526,geh weiter,2526,3233
2527,kaum,2527,2513
2528,wieviel,2528,3579
2529,ich muss es wissen,2529,7653
2530,nichts passiert,2530,2780
2531,bist du krank,2531,1165
2532,hast du ihn gesehen,2532,3069
2533,das glaub ich nicht,2533,1700
2534,halt die schnauze,2534,1788
2535,carlos,2535,3886
2536,hörst du mir zu,2536,2820
2537,reg dich nicht auf,2537,1505
2538,oder doch,2538,3397
2539,freund,2539,2251
2540,ruh dich aus,2540,5626
2541,gut zu wissen,2541,9899
2542,a,2542,4067
2543,mir reicht's,2543,2989
2544,"komm schon, baby",2544,6798
2545,ich schaffe das,2545,7570
2546,"hey, warte",2546,4889
2547,und ihr,2547,1516
2548,versuch es,2548,4580
2549,wie war's,2549,1745
2550,wie du meinst,2550,3750
2551,du gehst,2551,6619
2552,penny,2552,9899
2553,kein wunder,2553,2454
2554,das gibt's nicht,2554,3070
2555,da rein,2555,1889
2556,rede mit mir,2556,7333
2557,mach ihn fertig,2557,7347
2558,dir auch,2558,2836
2559,gib ihn mir,2559,4661
2560,es ist ganz einfach,2560,7412
2561,hü,2561,1054
2562,ist er,2562,9899
2563,gehen sie weg,2563,2772
2564,lassen sie mich raten,2564,6892
2565,haben sie,2565,2961
2566,jacob,2566,5462
2567,prinzessin,2567,1623
2568,haltet ihn auf,2568,4438
2569,drogen,2569,9899
2570,ein freund,2570,4063
2571,sie kommt,2571,1453
2572,das ist nicht richtig,2572,6260
2573,es ist die wahrheit,2573,7350
2574,ich wusste es nicht,2574,5772
2575,was sollte das,2575,2958
2576,"ja, ist gut",2576,1613
2577,noch was,2577,6079
2578,exakt,2578,1808
2579,piper,2579,9899
2580,mein schatz,2580,2408
2581,"oh, nein, nein, nein",2581,9899
2582,"komm, wir gehen",2582,1362
2583,alle beide,2583,3112
2584,hm-hm,2584,282
2585,es ist lange her,2585,3193
2586,antworten sie,2586,3692
2587,halten sie den mund,2587,3383
2588,ist etwas passiert,2588,1439
2589,sind sie in ordnung,2589,6232
2590,wovon redest du da,2590,9899
2591,du wirst sehen,2591,3757
2592,hat er,2592,9899
2593,"ich, äh",2593,2897
2594,warte einen moment,2594,9899
2595,jetzt komm schon,2595,5149
2596,schlecht,2596,2180
2597,gib gas,2597,1404
2598,nur die ruhe,2598,9899
2599,mach die tür zu,2599,2091
2600,warten sie mal,2600,3241
2601,es ist kalt,2601,6495
2602,ich habe es versucht,2602,9899
2603,jackson,2603,6770
2604,schaut,2604,5907
2605,unten bleiben,2605,2600
2606,hüa,2606,784
2607,gary,2607,9899
2608,nina,2608,1478
2609,wir sind gleich da,2609,2785
2610,umso besser,2610,1671
2611,schüsse,2611,1466
2612,"hallo, leute",2612,8739
2613,"ja, mama",2613,793
2614,schwarz,2614,3461
2615,ich muss jetzt los,2615,2304
2616,zieh dich an,2616,3603
2617,zack,2617,1010
2618,brillant,2618,9816
2619,zieht,2619,6847
2620,ich muss dir was sagen,2620,1642
2621,meinen glückwunsch,2621,6591
2622,"ach, du meine güte",2622,6438
2623,ihr alle,2623,9899
2624,schweig,2624,1458
2625,worauf willst du hinaus,2625,8546
2626,"nein, hast du nicht",2626,9899
2627,fester,2627,2819
2628,ich geh schon,2628,2936
2629,es ist dringend,2629,1672
2630,deshalb bin ich hier,2630,3876
2631,wo warst du denn,2631,2015
2632,sie irren sich,2632,2352
2633,die ganze zeit,2633,2329
2634,das warst du,2634,8573
2635,da oben,2635,1307
2636,"oh, natürlich",2636,6131
2637,was passiert hier,2637,9899
2638,salut,2638,1031
2639,schwein,2639,1636
2640,ich habe gewonnen,2640,8967
2641,legen wir los,2641,9899
2642,felix,2642,985
2643,und warum nicht,2643,1549
2644,töte sie,2644,8637
2645,vergiss das nicht,2645,2808
2646,gesundheit,2646,1348
2647,mia,2647,9899
2648,"so, so",2648,819
2649,sex,2649,3263
2650,so wie ich,2650,5825
2651,wa,2651,5966
2652,"bleiben sie, wo sie sind",2652,3102
2653,du weißt es,2653,4957
2654,die zeit ist um,2654,2141
2655,rein,2655,1639
2656,noch nie,2656,3430
2657,der war gut,2657,9236
2658,michelle,2658,9899
2659,haben wir,2659,7421
2660,hauen wir ab,2660,9899
2661,hat mich gefreut,2661,2586
2662,ganz im gegenteil,2662,2811
2663,ein mädchen,2663,1978
2664,"ja, du",2664,1673
2665,shh,2665,9899
2666,"ja, sehr gut",2666,1805
2667,ich vertraue dir,2667,1384
2668,barbara,2668,1451
2669,willkommen an bord,2669,2517
2670,was haben wir,2670,9899
2671,ich habe verstanden,2671,4351
2672,ist was,2672,788
2673,hannah,2673,2013
2674,zoe,2674,9899
2675,woher kommen sie,2675,1689
2676,du kennst mich,2676,6903
2677,du hurensohn,2677,9899
2678,es ist weg,2678,5593
2679,sieh her,2679,3376
2680,"hey, mom",2680,9899
2681,"nein, tust du nicht",2681,9899
2682,carol,2682,9899
2683,eure hoheit,2683,8267
2684,edward,2684,2738
2685,sehen sie das,2685,3259
2686,und los geht's,2686,3210
2687,treffer,2687,2582
2688,langsamer,2688,4032
2689,ehrenwort,2689,962
2690,das übliche,2690,2593
2691,hört auf damit,2691,3226
2692,gute neuigkeiten,2692,9899
2693,wartet auf mich,2693,2702
2694,arbeit,2694,3220
2695,höher,2695,2508
2696,jean,2696,1876
2697,halts maul,2697,4108
2698,warte doch,2698,2597
2699,bin ich das,2699,4822
2700,das war ein witz,2700,8566
2701,es dauert nicht lange,2701,3490
2702,new york,2702,7039
2703,können wir,2703,4640
2704,was macht er da,2704,6521
2705,"scheiße, mann",2705,3094
2706,"danke, schatz",2706,9899
2707,adieu,2707,861
2708,ich bringe dich um,2708,3168
2709,lass mich runter,2709,2525
2710,ich ruf dich an,2710,2615
2711,wer ist dran,2711,1987
2712,"ja, warum nicht",2712,1975
2713,du bist gefeuert,2713,9899
2714,netter versuch,2714,9899
2715,konzentrier dich,2715,3694
2716,rache,2716,6272
2717,haben sie kinder,2717,2095
2718,sind sie verheiratet,2718,2104
2719,sag ich doch,2719,956
2720,"ja, hier",2720,1716
2721,angela,2721,4586
2722,was ist hier passiert,2722,7941
2723,meinen sie,2723,2125
2724,worauf wollen sie hinaus,2724,9101
2725,denkst du,2725,7638
2726,schlüssel,2726,8674
2727,mein mann,2727,1412
2728,woran denkst du,2728,1823
2729,er ist mein freund,2729,4789
2730,todd,2730,9899
2731,bist du so weit,2731,9899
2732,zurück an die arbeit,2732,8678
2733,pressen,2733,6367
2734,zeig her,2734,2139
2735,es wird alles wieder gut,2735,6994
2736,"schnell, schnell",2736,1885
2737,das ist eine lange geschichte,2737,3931
2738,zieh,2738,1254
2739,du hast es versprochen,2739,2355
2740,ich bin nicht verrückt,2740,3280
2741,sie wollten mich sprechen,2741,3793
2742,gesichert,2742,9899
2743,pscht,2743,565
2744,ja klar,2744,1784
2745,draußen,2745,3512
2746,schlimmer,2746,5841
2747,was ist das alles,2747,9899
2748,darf ich vorstellen,2748,1148
2749,hast du sie gesehen,2749,1708
2750,"guten tag, sir",2750,2697
2751,fräulein,2751,1077
2752,respekt,2752,968
2753,mulder,2753,9899
2754,lass sie gehen,2754,8842
2755,war's das,2755,9689
2756,er ist gut,2756,2531
2757,si,2757,1245
2758,cole,2758,9899
2759,gefällt's dir,2759,2012
2760,ich hatte recht,2760,9899
2761,wer spricht da,2761,8124
2762,sieh,2762,5041
